
title,price,units,rate,url
Елена Вренева: Годовой курс развития речи у ребенка. 4-5 лет,852,₽,8.60,https://www.labirint.ru/books/853693/
Леонид Кочетков: Легендарные русские танки,1 296 ₽,,,https://www.labirint.ru/books/825722/
Том Тит: Научные развлечения,1019,₽,8.69,https://www.labirint.ru/books/737204/
Светлана Карпова: Годовой курс развития мышления у ребёнка. 4-5 лет,829,₽,10.00,https://www.labirint.ru/books/852076/
Михаил Мильчик: Как строили города на Руси,1196,₽,9.53,https://www.labirint.ru/books/896622/
Николай Кун: Легенды и мифы древней Греции. Книга 1. Боги,801,₽,8.60,https://www.labirint.ru/books/785693/
"Сергей Корнеев: Математика, или Что общего между капустой, секретным шифром и картинной галереей?",1277,₽,7.57,https://www.labirint.ru/books/821276/
Елена Долговесова: Засыпанные города,1284,₽,9.79,https://www.labirint.ru/books/938865/
Иван Привалов: Легендарные русские цари и царицы,1040,₽,8.85,https://www.labirint.ru/books/979761/
"Петр Волцит: Химия, или Мумия, яичница и колбаса в мире атомов и молекул",1356,₽,9.27,https://www.labirint.ru/books/879047/
Татьяна Попова: Легендарные русские изобретатели,1152,₽,8.56,https://www.labirint.ru/books/912178/
"Михаил Логинов: История, или Как узнать правду из того, что верно лишь наполовину",863,₽,8.27,https://www.labirint.ru/books/924652/
Анастасия Хачатурова: Жизнь на воде. Необычные дома мира,1288,₽,9.10,https://www.labirint.ru/books/921438/
Ефрем Левитан: Сказочные приключения маленького астронома,853,₽,8.50,https://www.labirint.ru/books/785692/
"Дарья Полякова: 118 элементов, или Как люди, созданные из клеток, разобрались в мире, созданном из атомов",1098,₽,8.60,https://www.labirint.ru/books/836819/
Вероника Холина: География. 11 класс. Углубленный уровень. Учебник,1237,₽,0.00,https://www.labirint.ru/books/923984/
Хлоп! Под елочкой. 1+. Книжка с наклейками,180,₽,0.00,https://www.labirint.ru/books/1016618/
Скрип! Зима в лесу. 1+. Книжка с наклейками,180,₽,0.00,https://www.labirint.ru/books/1016617/
Вжух! Зима в городе. 1+. Книжка с наклейками,180,₽,0.00,https://www.labirint.ru/books/1016616/
